Name:en,Name:fr,Name:es,Website,Country,Type,Region
West and Central Africa,Afrique de l'Ouest et du Centre,África occidental y central,http://wca.humanitarianresponse.info/,,region,
Benin,Bénin,Benín,,Benin,country,West and Central Africa
Burkina Faso,Burkina Faso,Burkina Faso,,Burkina Faso,country,West and Central Africa
Cameroon,Cameroun,Camerún,,Cameroon,country,West and Central Africa
Côte d'Ivoire,Côte d'Ivoire,Costa de Marfil,,Côte d'Ivoire,country,West and Central Africa
Gambia,Gambie,Gambia,,Gambia,country,West and Central Africa
Ghana,Ghana,Ghana,,Ghana,country,West and Central Africa
Guinea,Guinée,Guinea,,Guinea,country,West and Central Africa
Guinea Bissau,Guinée-Bissau,Guinea Bissau,,Guinea Bissau,country,West and Central Africa
Liberia,Libéria,Liberia,,Liberia,country,West and Central Africa
Mali,Mali,Mali,http://mali.humanitarianresponse.info,Mali,country,West and Central Africa
Mauritania,Mauritanie,Mauritania,,Mauritania,country,West and Central Africa
Niger,Niger,Níger,http://niger.humanitarianresponse.info,Niger,country,West and Central Africa
Nigeria,Nigéria,Nigeria,,Nigeria,country,West and Central Africa
Central African Republic,République Centrafricaine,República Centroafricana,https://car.humanitarianresponse.info,Central African Republic,country,West and Central Africa
Democratic Republic of the Congo,République Démocratique du Congo,República Democrática del Congo,http://rdc.humanitarianresponse.info,"Congo, The Democratic Republic of the",country,West and Central Africa
,,,,,,
Senegal,Sénégal,Senegal,,Senegal,country,West and Central Africa
Sierra Leone,Sierra Leone,Sierra Leona,,Sierra Leone,country,West and Central Africa
Chad,Tchad,Chad,http://chad.humanitarianresponse.info/,Chad,country,West and Central Africa
Togo,Togo,Togo,,Togo,country,West and Central Africa
Southern Africa,Afrique du Sud,África del Sur,http://rosa.humanitarianresponse.info,,region,
Angola,Angola,Angola,,Angola,country,Southern Africa
Botswana,Botswana,Botswana,,Botswana,country,Southern Africa
Comoros,Comores,Comoras,,Comoros,country,Southern Africa
Lesotho,Lesotho,Lesoto,,Lesotho,country,Southern Africa
Madagascar,Madagascar,Madagascar,,Madagascar,country,Southern Africa
Malawi,Malawi,Malawi,,Malawi,country,Southern Africa
Mauritius,Maurice,Mauricio,,Mauritius,country,Southern Africa
Mozambique,Mozambique,Mozambique,,Mozambique,country,Southern Africa
Namibia,Namibie,Namibia,,Namibia,country,Southern Africa
Seychelles,Seychelles,Seychelles,,Seychelles,country,Southern Africa
South Africa,Afrique du Sud,Sudáfrica,,South Africa,country,Southern Africa
Swaziland,Swaziland,Swazilandia,,Swaziland,country,Southern Africa
United Republic of Tanzania,Tanzanie,Tanzania,,Tanzania,country,Southern Africa
Zambia,Zambie,Zambia,,Zambia,country,Southern Africa
Zimbabwe,Zimbabwe,Zimbabue,http://zw.humanitarianresponse.info/,Zimbabwe,country,Southern Africa
Eastern Africa,Afrique de l'Est,África del Este,https://ea.humanitarianresponse.info/,,region,
Burundi,Burundi,Burundi,,Burundi,country,Eastern Africa
Djibouti,Djibouti,Djibouti,,Djibouti,country,Eastern Africa
Eritrea,Erythrée,Eritrea,,Eritrea,country,Eastern Africa
Ethiopia,Ethiopie,Etiopía,http://ethiopia.humanitarianresponse.info/,Ethiopia,country,Eastern Africa
Kenya,Kenya,Kenia,http://kenya.humanitarianresponse.info/,Kenya,country,Eastern Africa
Rwanda,Rwanda,Ruanda,,Rwanda,country,Eastern Africa
Somalia,Somalie,Somalia,http://somalia.humanitarianresponse.info/,Somalia,country,Eastern Africa
South Sudan,Sud Soudan,Sudán del Sur,http://southsudan.humanitarianresponse.info/,South Sudan,country,Eastern Africa
Sudan,Soudan,Sudán,http://sudan.humanitarianresponse.info/,Sudan,country,Eastern Africa
Uganda,Ouganda,Uganda,,Uganda,country,Eastern Africa
Middle East and North Africa,Moyen-Orient et Afrique du Nord,Medio Oriente y África del Norte,,,region,
Afghanistan,Afghanistan,Afganistán,http://afg.humanitarianresponse.info,Afghanistan,country,Middle East and North Africa
Pakistan,Pakistan,Pakistán,https://pak.humanitarianresponse.info,Pakistan,country,Middle East and North Africa
State of Palestine,Palestine,Palestina,,"Palestinian Territory, Occupied",country,Middle East and North Africa
Syria,Syrie,Siria,http://syria.humanitarianresponse.info/,Syria,country,Middle East and North Africa
Yemen,Yemen,Yemen,http://yemen.humanitarianresponse.info,Yemen,country,Middle East and North Africa
Latin America and the Caribbean,Amérique latine et Caraïbes,América Latina y el Caribe,,,region,
Colombia,Colombie,Colombia,http://www.salahumanitaria.co/,Colombia,country,Latin America and the Caribbean
Haiti,Haiti,Haití,http://haiti.humanitarianresponse.info/,Haiti,country,Latin America and the Caribbean
El Salvador,Salvador,El Salvador,,El Salvador,country,Latin America and the Caribbean
Asia and the Pacific,Asie et Pacifique,Asia y el Pacífico,,,region,
Indonesia,Indonésie,Indonesia,http://indonesia.humanitarianresponse.info/,Indonesia,country,Asia and the Pacific
Philippines,Philippines,Filipinas,http://philippines.humanitarianresponse.info,Philippines,country,Asia and the Pacific
Nepal,Népal,Nepal,,Nepal,country,Asia and the Pacific
Myanmar,Myanmar,Myanmar,,Myanmar,country,Asia and the Pacific
Pacific Region,Pacifique,Pacífico,http://pht.humanitarianresponse.info,,region,
