Name:en,Name:fr,Name:es,Type,Category,Icon,Website,URL
Clusters,Clusters,Clusters,other,,,http://clusters.humanitarianresponse.info,clusters/space
Needs Assessment,,,initiative,Programme Cycle,,http://assessments.humanitarianresponse.info,initiatives/needs-assessment
Information Management Working Group,,,initiative,Groups,,http://imwg.humanitarianresponse.info,initiatives/imwg
Accountability to Affected People,,,initiative,Cross-cutting Issues,,,initiatives/accountability-to-affected-people
Age,,,initiative,Cross-cutting Issues,,,initiatives/age
Environment,,,initiative,Cross-cutting Issues,,,initiatives/environment
Gender,,,initiative,Cross-cutting Issues,,,initiatives/gender
GenCap,,,initiative,Coordination,,,initiatives/gencap
Humanitarian Leadership,,,initiative,Coordination,,,initiatives/humanitarian-leadership
ProCap,,,initiative,Coordination,,,initiatives/procap
